"","OBS","ARIMA","ETS","FTS_SA"
"628",244700,251577.092666795,219655.373660705,332786.74875298
"629",262452,239587.019223261,229626.577726944,239265.777451585
"630",276445,251982.969363681,242627.267475193,272620.123090677
"631",271385,262683.14895989,256017.280561487,290507.642287182
"632",284904,261345.902448973,262233.023791782,274040.400766839
"633",263767,271672.757207845,271291.506831195,298499.782742627
"634",306291,259700.790956656,268605.237742028,249914.759679292
"635",282512,288214.068482259,283506.472699597,329332.742699431
"636",240594,275206.249638597,283363.614175746,259674.765048754
"637",233395,248731.873545429,266968.775414081,207766.638287703
"638",236614,242829.854548158,254147.138277737,217017.743082274
"639",318011,243582.439423939,247562.470244081,233813.090632114
"640",274873,296032.303288945,275203.762545125,345070.059646249
"641",297374,270873.968935586,275316.666467866,253666.294280756
"642",283997,286227.964041642,284139.23058392,312779.846439487
"643",290756,279051.29098844,284327.652207591,268578.833068789
"644",308387,284203.735234195,287072.227049298,296887.770557317
"645",278441,296727.904452823,295608.745453815,319466.979955375
"646",293567,278744.000285203,289176.451398821,264987.696366416
"647",301940,288633.8890463,291129.314009828,308401.052669507
"648",264780,294844.468324279,295580.25671148,312102.919043742
"649",239301,271464.452352192,283844.278331779,248398.92471675
"650",295946,253767.237390063,266758.740128661,211006.770373033
"651",296322,288879.962398269,278352.310928166,301920.211190789
"652",283219,290146.490610994,285584.802724263,290060.589302455
"653",305251,282432.533631097,284907.927666019,275767.44992418
"654",296050,297014.965324778,293065.302691328,313800.147781072
"655",308798,292160.871473414,294471.742888057,285631.477834598
"656",326213,301093.976850344,300290.71503755,321678.686674765
"657",261130,313642.487595072,310622.349601921,339996.226706789
"658",270949,272714.778428073,291617.845113502,234225.89774929
"659",273358,277491.518013578,283821.66658005,283466.80334655
"660",261245,278129.508438387,279993.565571195,278163.273944637
"661",210604,269486.099176438,272941.324597363,255380.416004776
"662",219068,235039.771889896,248929.772095834,179347.944147614
"663",313178,237072.305129601,237546.025805204,215562.360847091
"664",266275,296278.674280774,267199.771654169,345774.774980452
"665",286215,267914.84110605,267078.031234762,245485.503320225
"666",277722,280773.29964445,274760.864036159,295519.978841387
"667",301142,275980.955687332,276152.688559161,269924.380966265
"668",333316,291612.662225291,286114.481716432,322434.751720614
"669",289693,314117.150956049,304720.040492395,359839.694961158
"670",323940,288239.184874746,299121.397993234,276146.518008318
"671",314727,310939.798486304,309022.496079165,356025.085528379
"672",268504,306765.273452456,311490.073852504,301956.304123868
"673",291884,277558.354264524,295016.012967269,240600.023756151
"674",242072,291606.06060982,294042.17176895,295414.16291571
"675",329103,258933.419615143,274068.394462389,193554.547544431
"676",352328,313655.751700696,295717.738363063,368642.903460034
"677",344556,331137.145384809,317985.566931966,367965.63565654
"678",323853,329090.837201018,328572.591946119,348780.077226511
"679",316740,317726.23464661,326989.442561012,308913.623117699
"680",343562,313939.02214019,323254.530522319,308142.729579959
"681",322776,331957.848463753,331406.220341261,349422.190051467
"682",322677,319981.609893948,328302.24391152,308123.470878512
"683",293155,320319.813095132,326366.43744776,320011.318400895
"684",231107,301272.133170712,313698.147199342,267604.955718287
"685",237390,259352.440567329,281816.232049555,186831.982145167
"686",281627,259402.938914904,264773.443744264,223957.035905396
"687",272754,285278.072170352,271566.031854035,300647.943032369
"688",277091,278924.123663105,272265.885025862,270046.113187578
"689",281355,280882.013330178,274380.82471483,276487.316633324
"690",215943,283135.257879722,277332.300867228,286667.928987492
"691",254348,239920.729836511,253688.871756953,185476.960037727
"692",264637,261682.336304041,254178.148869533,270703.486855765
"693",300931,267381.057432874,258479.900962417,277433.129094978
"694",293328,290820.249915346,275228.717819449,338122.893298844
"695",264830,287286.115011588,282508.135667583,292840.517335624
"696",207597,269442.607326724,275870.791087956,246101.898006543
"697",204716,231190.730347566,249548.332766324,165855.287224403
"698",205953,225894.23049224,232338.532260867,187863.099465842
"699",256480,223650.667552962,222300.65034599,204097.753066823
"700",219623,254279.271861163,235821.827226933,274487.988161359
"701",213047,230391.943483966,229747.682333839,200526.672018497
