time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/03/2016;8,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/03/2016;8,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2016;7,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/03/2016;7,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/03/2016;8,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/03/2016;8,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/03/2016;8,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2016;8,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2016;8,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/04/2016;7,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/04/2016;7,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/04/2016;7,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/04/2016;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2016;8,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/04/2016;8,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/04/2016;9,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/04/2016;9,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/04/2016;9,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2016;9,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/04/2016;9,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/04/2016;9,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/04/2016;9,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2016;9,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/04/2016;9,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/04/2016;9,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/04/2016;10,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/04/2016;10,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2016;10,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/05/2016;10,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2016;9,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2016;9,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2016;9,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2016;10,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/05/2016;9,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/05/2016;10,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2016;10,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/05/2016;9,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/05/2016;9,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2016;9,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2016;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2016;9,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/05/2016;8,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/05/2016;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/05/2016;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2016;8,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/05/2016;8,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
