;MGLU3.SA.Close
15/06/2017;4,01562
16/06/2017;4,04688
19/06/2017;4,01562
20/06/2017;3,84172
21/06/2017;3,82812
22/06/2017;3,73438
23/06/2017;3,82328
26/06/2017;3,92188
27/06/2017;3,84375
28/06/2017;3,76562
29/06/2017;3,8825
30/06/2017;4
03/07/2017;4,0625
04/07/2017;4,0625
05/07/2017;4,0625
06/07/2017;4,05312
07/07/2017;4,46078
10/07/2017;4,65344
11/07/2017;4,74984
12/07/2017;4,92188
13/07/2017;4,71875
14/07/2017;4,9375
17/07/2017;5,15688
18/07/2017;5,375
19/07/2017;5,39219
20/07/2017;5,44344
21/07/2017;5,23594
24/07/2017;5,23438
25/07/2017;5,41266
26/07/2017;5,37109
27/07/2017;5,43781
28/07/2017;5,72859
31/07/2017;5,7325
01/08/2017;5,78672
02/08/2017;5,81063
03/08/2017;5,81938
04/08/2017;6,14062
07/08/2017;6,25
08/08/2017;6,16219
09/08/2017;6,33547
10/08/2017;6,19641
11/08/2017;6,46828
14/08/2017;6,96344
15/08/2017;7,09781
16/08/2017;7,65625
17/08/2017;7,04688
18/08/2017;7,15625
21/08/2017;7,39062
22/08/2017;7,31203
23/08/2017;7,23578
24/08/2017;7,45469
25/08/2017;7,48078
28/08/2017;7,71859
29/08/2017;7,75
30/08/2017;8,04688
31/08/2017;8,875
01/09/2017;8,81469
04/09/2017;9,71547
05/09/2017;10,25
06/09/2017;10,6763
07/09/2017;10,6763
08/09/2017;9,865
11/09/2017;9,7875
12/09/2017;8,6275
13/09/2017;9,0375
14/09/2017;10,25
15/09/2017;10,3988
18/09/2017;10,1562
19/09/2017;9,85625
20/09/2017;9,4375
21/09/2017;9,51625
22/09/2017;9,38125
25/09/2017;8,975
26/09/2017;9,24875
27/09/2017;8,53875
28/09/2017;8,84375
29/09/2017;9,27625
02/10/2017;9,735
03/10/2017;9,87375
04/10/2017;9,9375
05/10/2017;9,8
06/10/2017;9,9625
09/10/2017;9,72375
10/10/2017;9,9525
11/10/2017;9,625
12/10/2017;9,625
13/10/2017;9,0875
16/10/2017;8,6625
17/10/2017;7,975
18/10/2017;8,84
19/10/2017;8,74875
20/10/2017;9,05625
23/10/2017;8,65
24/10/2017;8,6
25/10/2017;8,6025
26/10/2017;8,21
27/10/2017;8
30/10/2017;7,90625
31/10/2017;7,96875
01/11/2017;8,37375
02/11/2017;8,37375
03/11/2017;7,69125
06/11/2017;7,125
07/11/2017;6,44625
08/11/2017;6,89
09/11/2017;6,465
10/11/2017;6,1325
13/11/2017;6,3925
14/11/2017;6,865
15/11/2017;6,865
16/11/2017;7,125
17/11/2017;7,4125
20/11/2017;7,4125
21/11/2017;7,575
22/11/2017;7,54125
23/11/2017;7,33875
24/11/2017;7,68125
27/11/2017;7,44875
28/11/2017;7,34625
29/11/2017;7,275
30/11/2017;7,1025
01/12/2017;7,27625
04/12/2017;7,2125
05/12/2017;7,1875
06/12/2017;7,28875
07/12/2017;8,0575
08/12/2017;8,745
11/12/2017;8,72
12/12/2017;8,715
13/12/2017;8,6
14/12/2017;8,65
15/12/2017;8,67625
18/12/2017;8,59875
19/12/2017;8,365
20/12/2017;8,7025
21/12/2017;9,02625
22/12/2017;9,1075
25/12/2017;9,1075
26/12/2017;9,43625
27/12/2017;9,6625
28/12/2017;10,0275
29/12/2017;10,0275
02/01/2018;9,9125
03/01/2018;9,7875
04/01/2018;10,0225
05/01/2018;9,825
08/01/2018;9,82625
09/01/2018;9,59
10/01/2018;9,6875
11/01/2018;9,705
12/01/2018;9,695
15/01/2018;9,8625
16/01/2018;9,8375
17/01/2018;9,8475
18/01/2018;9,68625
19/01/2018;9,59375
22/01/2018;9,625
23/01/2018;9,345
24/01/2018;10,1237
25/01/2018;10,1237
26/01/2018;10,35
29/01/2018;10,575
30/01/2018;10,5825
31/01/2018;10,57
01/02/2018;10,7325
02/02/2018;10,4825
05/02/2018;10,0787
06/02/2018;10,205
07/02/2018;9,875
08/02/2018;9,5
09/02/2018;9,23625
14/02/2018;NA
15/02/2018;9,90125
16/02/2018;9,82625
19/02/2018;10,2825
20/02/2018;10,3737
21/02/2018;9,9425
22/02/2018;10,1775
23/02/2018;10,8737
26/02/2018;11,79
27/02/2018;11,4375
28/02/2018;11,3813
01/03/2018;11,5225
02/03/2018;11,605
05/03/2018;11,3
06/03/2018;11,1475
07/03/2018;11,2537
08/03/2018;11,03
09/03/2018;11,3375
12/03/2018;11,5725
13/03/2018;11,4438
14/03/2018;11,2125
15/03/2018;11,375
16/03/2018;11,5875
19/03/2018;11,3375
20/03/2018;11,25
21/03/2018;11,625
22/03/2018;11,9237
23/03/2018;11,85
26/03/2018;12,5
27/03/2018;12,0875
28/03/2018;12,125
29/03/2018;12,2388
02/04/2018;12,24
03/04/2018;12,125
04/04/2018;12,0625
05/04/2018;12,3363
06/04/2018;12,2625
09/04/2018;12,0787
10/04/2018;11,8625
11/04/2018;12,1088
12/04/2018;12,4388
13/04/2018;12,2812
16/04/2018;12,0212
17/04/2018;12,125
18/04/2018;11,9625
19/04/2018;11,7975
20/04/2018;12,1138
23/04/2018;12,4838
24/04/2018;12,6388
25/04/2018;12,68
26/04/2018;13,0625
27/04/2018;13,1625
30/04/2018;13,3387
02/05/2018;12,8125
03/05/2018;12,15
04/05/2018;12,2125
07/05/2018;12,1062
08/05/2018;13,8737
09/05/2018;14,0787
10/05/2018;13,6875
11/05/2018;13,5813
14/05/2018;13,5188
15/05/2018;13,3088
16/05/2018;14,0262
17/05/2018;13,6687
18/05/2018;13,1362
21/05/2018;13,6912
22/05/2018;14,25
23/05/2018;13,985
24/05/2018;14,1237
25/05/2018;14
28/05/2018;13,125
29/05/2018;13,0612
30/05/2018;13,5525
01/06/2018;14,4338
04/06/2018;15,5425
05/06/2018;15,1275
06/06/2018;14,2913
07/06/2018;13,3
08/06/2018;13,1862
11/06/2018;13,2775
12/06/2018;13,75
13/06/2018;14,0513
14/06/2018;14,925
15/06/2018;14,9775
18/06/2018;14,7225
19/06/2018;15,4575
20/06/2018;15,2113
21/06/2018;15,2013
22/06/2018;15,3512
25/06/2018;15,3438
26/06/2018;15,4675
27/06/2018;15,1912
28/06/2018;15,4438
29/06/2018;15,9987
02/07/2018;15,6788
03/07/2018;15,5662
04/07/2018;15,5437
05/07/2018;15
06/07/2018;15,2125
10/07/2018;14,7563
11/07/2018;14,3138
12/07/2018;15,4213
13/07/2018;15,705
16/07/2018;15,9675
17/07/2018;16,5
18/07/2018;15,8687
19/07/2018;16,1213
20/07/2018;16,3713
23/07/2018;16,227501
24/07/2018;16,719999
25/07/2018;16,625
26/07/2018;16,4438
27/07/2018;16,225
30/07/2018;16,25
31/07/2018;16,532499
01/08/2018;16,782499
02/08/2018;17,1063
03/08/2018;17,120001
06/08/2018;17,25
07/08/2018;18,237499
08/08/2018;17,5037
09/08/2018;18,3738
10/08/2018;17,3787
13/08/2018;17,625
14/08/2018;17,73
15/08/2018;17,3337
16/08/2018;17,0375
17/08/2018;16,7062
20/08/2018;17,2962
21/08/2018;16,555
22/08/2018;16,780001
23/08/2018;16,5963
24/08/2018;16,5
27/08/2018;16,4275
28/08/2018;16,1675
29/08/2018;16,5138
30/08/2018;15,95
31/08/2018;16,2812
03/09/2018;15,8075
04/09/2018;14,75
05/09/2018;15,2288
06/09/2018;15,65
10/09/2018;15,2325
11/09/2018;14,8875
12/09/2018;14,925
13/09/2018;14,4288
14/09/2018;14,5
17/09/2018;14,8612
18/09/2018;15,5538
19/09/2018;14,8763
20/09/2018;14,8112
21/09/2018;15,5
24/09/2018;15,1737
25/09/2018;15,3925
26/09/2018;15,2688
27/09/2018;15,5212
28/09/2018;15,3112
01/10/2018;15,3287
02/10/2018;16,299999
03/10/2018;17,4175
04/10/2018;17,4375
05/10/2018;17,75
08/10/2018;18,567499
09/10/2018;18,775
10/10/2018;17,9562
11/10/2018;18,8375
15/10/2018;18,75
16/10/2018;19,9
17/10/2018;20,2188
18/10/2018;20,110001
19/10/2018;21,125
22/10/2018;20,887501
23/10/2018;21,1325
24/10/2018;21
25/10/2018;21,0275
26/10/2018;20,85
29/10/2018;20,8062
30/10/2018;21,1588
31/10/2018;21,1
01/11/2018;21,241199
05/11/2018;21,620001
06/11/2018;19,8125
07/11/2018;18,862499
08/11/2018;18,446301
09/11/2018;18,299999
12/11/2018;19,192499
13/11/2018;19,1763
14/11/2018;19,4375
16/11/2018;19,5625
19/11/2018;19,5187
21/11/2018;19,405001
22/11/2018;20
23/11/2018;20,2938
